vendor_id,b_entity_id,likelihood
285924451,000NYL-E,1.0577505311860408e-05
47653720,000NYL-E,1.0612897586569777e-05
149196787,000NYL-E,9.723843258940136e-06
274892372,000NYL-E,9.724065685948832e-06
197539987,000NYL-E,1.0613659707828152e-05
20011428,000NYL-E,1.0613483001988462e-05
49872705,000NYL-E,8.818958194835172e-06
18947782,000NYL-E,9.211914540998345e-06
139394747,000NYL-E,8.256910620793228e-06
63207092,000NYL-E,9.702222089924093e-06
173243898,000NYL-E,1.2623352317248708e-05
142819094,000NYL-E,1.2487523369594055e-05
19271408,000NYL-E,1.0594252624507802e-05
19152835,000NYL-E,1.0594074763281671e-05
59182447,000NYL-E,1.0264493426501617e-05
33591331,000NYL-E,1.0223702591060165e-05
56815267,000NYL-E,1.0141894253803853e-05
178625932,000NYL-E,9.685440388340495e-06
57663763,000NYL-E,1.0009684607772174e-05
137383395,000NYL-E,1.0507624535416163e-05
323780544,000NYL-E,1.1484695146664907e-05
285971023,000NYL-E,1.12612267753525e-05
173865819,000NYL-E,1.0741548199334667e-05
23238306,000NYL-E,1.0925157560271736e-05
49860831,000NYL-E,9.688302101405232e-06
136893060,000NYL-E,1.0511209503552303e-05
156235834,000NYL-E,9.833298504019485e-06
63203050,000NYL-E,9.835815672002085e-06
177000542,000NYL-E,9.605163703216571e-06
45096098,000NYL-E,9.063002073575894e-06
52131500,000NYL-E,8.999227381270843e-06
62557171,000NYL-E,1.0166140924307731e-05
36584865,000NYL-E,1.0247557646054628e-05
156239661,000NYL-E,9.832483025155133e-06
21788646,000NYL-E,1.058951466281486e-05
299405654,000NYL-E,1.147653762177721e-05
28430924,000NYL-E,1.1481088227960384e-05
303588210,000NYL-E,1.1481591283038889e-05
37611833,000NYL-E,1.1141111282841837e-05
52135625,000NYL-E,9.691269609711326e-06
142681768,000NYL-E,9.50485194879009e-06
21782802,000NYL-E,1.174919257011128e-05
21729583,000NYL-E,1.1790876880057603e-05
280270550,000NYL-E,1.1268865623555467e-05
91157082,000NYL-E,1.1790532511400466e-05
321885242,000NYL-E,1.1386592396045423e-05
18908948,000NYL-E,1.1127418219187136e-05
20407641,000NYL-E,1.1610111089818409e-05
141498826,000NYL-E,1.0924880349792304e-05
56501934,000NYL-E,1.1611668966103713e-05
156365343,000NYL-E,1.1132682387714343e-05
49910598,000NYL-E,1.1134759897409674e-05
33765732,000NYL-E,1.1502197421947606e-05
145344561,000NYL-E,1.0924507913146679e-05
52137825,000NYL-E,1.0018008307091129e-05
43006635,000NYL-E,1.079611399541084e-05
57281795,000NYL-E,1.0925003100961482e-05
293083831,000NYL-E,1.0924030327921853e-05
138211217,000NYL-E,1.161504422803404e-05
202499685,000NYL-E,1.1089391652834367e-05
156214323,000NYL-E,9.832483675920072e-06
21623660,000NYL-E,1.1380139120455154e-05
51468257,000NYL-E,1.1606089697336242e-05
322017680,000NYL-E,1.0636642038907128e-05
177332407,000NYL-E,1.0636992603491611e-05
156315364,000NYL-E,1.017297547944157e-05
195677480,000NYL-E,9.753329014435687e-06
56169200,000NYL-E,1.0636828281723873e-05
21625994,000NYL-E,1.026065160667232e-05
49766322,000NYL-E,8.846606503995988e-06
156347571,000NYL-E,9.859792333152415e-06
49976051,000NYL-E,1.0598438806008283e-05
